Honest-Barcode-Text-Handheld-NonHeadless-CPU,Honest-Barcode-Text-Handheld-NonHeadless-MEM,Mal-Barcode-Text-Handheld-NonHeadless-CPU,Mal-Barcode-Text-Handheld-NonHeadless-MEM,Honest-Barcode-Text-Headless-CPU,Honest-Barcode-Text-Headless-MEM,Mal-Barcode-Text-Headless-CPU,Mal-Barcode-Text-Headless-MEM,Honest-Barcode-Text-Handheld-Headless-CPU,Honest-Barcode-Text-Handheld-Headless-MEM,Mal-Barcode-Text-Handheld-Headless-CPU,Mal-Barcode-Text-Handheld-Headless-MEM
116,1.5,200,1.5,20.6,1.7,222,3.8,40,2,159,5.8
112,1.4,168,1.7,20,1.6,345,3.5,33.3,1.8,216,6
116,1.4,196,1.8,38.7,1.4,283,3.7,37.9,1.7,196,6.2
116,1.4,176,1.7,36.6,1.8,310,3.7,37.9,1.9,166,6.6
116,1.9,148,1.6,40,1.6,279,4.1,44.8,1.8,234,6.5
116,1.8,196,1.5,37.9,1.9,279,5.2,55.1,2,217,6.5
116,1.6,180,1.5,37.9,1.7,266,4.6,41.3,1.8,237,6.6
120,1.5,160,1.4,37.9,1.9,245,5.1,63.3,2,193,6.3
116,1.4,152,1.6,35.4,1.8,266,4.5,33.3,1.8,267,7.1
112,1.4,156,1.4,43.3,1.5,310,4.7,62,2,276,7.1
116,1.4,224,1.4,36.6,1.8,286,4.6,30,1.9,266,6.9
120,1.4,208,1.5,34.4,1.6,254,6,40,2,279,6.5
120,1.4,204,1.4,51.6,1.9,310,5.6,37.9,1.8,270,6.8
116,1.4,224,1.4,29,1.8,248,5.9,48.2,1.7,260,6.4
112,1.4,200,1.4,30,1.7,268,6.7,30,1.9,282,6.1
112,1.4,192,1.4,17.2,1.6,253,6.7,10.3,1.8,248,5.9
108,1.4,192,1.5,38.2,1.9,296,6.7,33.3,1.6,254,6.4
116,1.4,236,1.4,23.3,1.7,261,5.9,30,1.9,243,6.3
116,1.4,204,1.4,44.8,1.6,223,6.1,34.4,1.7,248,6
108,1.4,196,1.4,38.7,1.9,286,7.9,43.3,2,296,5.9
