,,,,,,,,,,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
 \t MAR SECURITY - AUTOMATED TEST SUITE,,,,,,,,,,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
 \t TESTING APPLICATION: Barcode-Text-9min,,,,,,,,,,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Application output directory created at: output/Barcode-Text-9min,,,,,,,,,,,,,,,,,,,,
Output will be written to file: output/Barcode-Text-9min/Barcode-Text-9min.2020-10-07.160533.csv,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Running test script with params: ,,,,,,,,,,,,,,,,,,,,
\t Application package name: \t\t edu.temple.mar_security.headless_fb_mal,,,,,,,,,,,,,,,,,,,,
\t Application local name: \t\t Barcode-Text-9min,,,,,,,,,,,,,,,,,,,,
\t Run time (milliseconds): \t\t\t 510000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  bash arg: -p,,,,,,,,,,,,,,,,,,,,
  bash arg: edu.temple.mar_security.headless_fb_mal,,,,,,,,,,,,,,,,,,,,
  bash arg: 1,,,,,,,,,,,,,,,,,,,,
Events injected: 1,,,,,,,,,,,,,,,,,,,,
## Network stats: elapsed time=17ms (0ms mobile, 0ms wifi, 17ms not connected),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
--------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
App PID: 29885,,,,,,,,,,,,,,,,,,,,
Trial start time (ms): 1602101133966,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,5012,113,2.1,113468064,67409820,45517572,41,1108,7819780,1207256,4151960,1077952832,582,20,0,0,10,35,25959285,47053
9,5706,113,2.4,113468064,67409820,45517572,41,1108,7819780,1191380,4145348,4211008,654,23,0,0,10,35,25959285,37590
10,6347,113,1.9,113468064,67409820,45517572,41,1108,7819780,1233304,4187272,1077952832,734,25,0,0,10,35,25959285,40945
11,7073,113,2.1,113468064,67409820,45517572,41,1108,7819780,1220832,4165548,1077952832,811,27,0,0,10,35,25959285,42989
12,7767,117,1.8,113468064,67409820,45517572,41,1108,7819780,1223776,4177744,1077952832,895,30,0,0,10,35,25959285,39909
13,8511,113,2.1,113468064,67409820,45517572,41,1108,7819780,1210200,4154916,1077952832,986,31,0,0,10,35,25959285,36806
14,9299,110,1.9,113468064,67409820,45517572,41,1108,7819780,1206952,4160920,1077952832,1064,34,0,0,10,35,25959285,40314
15,10009,113,2,113468064,67409820,45517572,41,1108,7819780,1190560,4135280,1077952832,1147,37,0,0,10,35,25959285,35669
16,10760,113,2.3,113468064,67409820,45517572,41,1108,7819780,1203364,4156408,1077952832,1229,38,0,0,10,35,25959285,48309
17,11464,113,2.4,113468064,67409820,45517572,41,1108,7819780,1180020,4133996,1077952832,1318,40,0,0,10,35,25959285,44431
18,12247,113,2.3,113468064,67409820,45517572,41,1108,7819780,1223220,4167928,1077952832,1400,41,0,0,10,35,25959285,47423
19,12994,120,2.4,113468064,67409820,45517572,41,1108,7819780,1232716,4186676,1077952832,1488,44,0,0,10,35,25959285,44197
20,13760,106,2.3,113468064,67409820,45517572,41,1108,7819780,1214204,4168164,1077952832,1571,45,0,0,10,35,25959285,47070
21,14499,117,2.1,113468064,67409820,45517572,41,1108,7819780,1213844,4159188,1077952832,1648,47,0,0,10,35,25959285,44641
22,15182,110,2.3,113468064,67409820,45517572,41,1108,7819780,1198184,4152144,1077952832,1734,47,0,0,10,35,25959285,48037
23,15929,113,2.1,113468064,67409820,45517572,41,1108,7819780,1204484,4158444,1077952832,1813,51,0,0,10,35,25959285,44483
24,16668,113,2.2,113468064,67409820,45517572,41,1108,7819780,1189340,4134048,1077952832,1896,53,0,0,10,35,25959285,41324
25,17406,113,2.1,113468064,67409820,45517572,41,1108,7819780,1238320,4192576,1077952832,1980,55,0,0,10,35,25959285,44854
26,18144,113,2.2,113468064,67409820,45517572,41,1108,7819780,1240428,4194684,1077952832,2062,56,0,0,10,35,25959285,42554
27,18882,110,2.1,113468064,67409820,45517572,41,1108,7819780,1227856,4182112,1077952832,2142,57,0,0,10,35,25959285,44773
