barcode_cpu_trial1,barcode_mem_trial1,barcode_cpu_trial2,barcode_mem_trial2,barcode_cpu_trial3,barcode_mem_trial3,barcode_cpu_trial4,barcode_mem_trial4,barcode_cpu_trial5,barcode_mem_trial5,barcode_cpu_trial6,barcode_mem_trial6,barcode_cpu_trial7,barcode_mem_trial7,barcodeText_cpu_trial1,barcodeText_mem_trial1,barcodeText_cpu_trial2,barcodeText_mem_trial2,barcodeText_cpu_trial3,barcodeText_mem_trial3,barcodeText_cpu_trial4,barcodeText_mem_trial4,barcode_cpu_phone1,barcode_mem_phone1,barcodeText_cpu_phone1,barcodeText_mem_phone1
50,1.6,,,83.8,1.6,106,1.6,66.6,1.5,61.5,6,76,6.4,287,40.2,,,181,41.5,177,44.8,53.3,2,156,1.5
86.6,1.6,,,106,1.6,86.6,1.6,100,1.5,69.2,6.1,76,6.4,93.9,40,,,129,42.6,230,45.6,50,1.6,180,1.3
83.3,1.6,,,96.6,1.6,67.7,1.6,103,1.5,84.6,6.5,76.9,6.3,78.1,40.4,,,190,43.2,243,45.8,53.3,1.7,210,1.3
67.7,1.6,,,100,1.6,64.5,1.6,65.6,1.5,80,6.3,80.7,6.1,258,41,,,270,43.6,254,47.2,70,2,173,1.3
59.3,1.6,,,50,1.6,53.1,1.6,103,1.5,76.9,6.5,73,6.3,60.6,41.3,,,96.8,44.6,254,47.2,66.6,2,190,1.2
53.3,1.6,,,69.6,1.6,100,1.6,67.7,1.5,84.6,6.3,69.2,6.6,50,41.6,,,133,44.8,251,48.3,53.3,2,170,1.1
100,1.6,,,56.2,1.6,60,1.6,61.2,1.5,73,6.3,64.2,6.1,271,42.3,,,276,44.3,232,48.3,28.1,1.6,224,1.4
103,1.6,,,64.5,1.6,63.3,1.6,53.3,1.5,80,6.1,74,6.6,164,43.2,,,64.5,45.6,118,49.3,50,1.6,210,2.2
96.6,1.6,,,56.2,1.6,96.6,1.6,66.6,1.5,84,6,73,6.4,103,44.1,,,256,46.3,135,49.8,40,1.6,231,1.9
96.8,1.6,,,56.6,1.6,77.4,1.6,103,1.5,76.9,6.2,80,6.2,46.8,43.6,,,84.3,46.9,248,48.9,46.6,1.6,193,1.7
74.1,1.6,,,103,1.6,90,1.6,61.2,1.5,88,6.2,76,6,221,44.4,,,270,47,193,51.2,44.8,1.6,154,1.2
103,1.6,,,66.6,1.6,100,1.6,100,1.5,84.6,6.2,88.4,6.5,261,45.4,,,153,47.8,175,51.6,50,1.6,175,2.2
50,1.6,,,63.3,1.6,93.3,1.6,48.3,1.5,71.4,6.3,80,6.5,222,45.7,,,80,48.1,219,52.3,46.8,1.7,158,2.1
76.6,1.6,,,90,1.6,100,1.6,100,1.5,68,6.1,64,6.1,200,45.5,,,203,49.2,100,52.8,48.3,1.7,179,2.1
100,1.6,,,93.3,1.6,77.4,2.9,103,1.5,84,6.3,84,6.5,52.9,46.4,,,100,49.5,61.2,52.9,40,1.7,183,1.8
65.6,1.6,,,56.6,1.6,76.6,3.2,70.9,1.5,80.7,6.2,84,6,300,47,,,196,49,186,52.6,36.6,1.7,175,2.1
53.1,1.6,,,62.5,1.6,60,2.5,58,1.5,59.2,6.3,76.9,6.4,103,47.4,,,191,49.2,231,53.1,48.2,1.7,170,2
93.7,1.6,,,58,1.6,66.6,2.8,68.7,1.5,84,6.2,80,6.3,225,47.8,,,137,50.6,70,52.2,53.3,1.7,206,1.6
93.5,1.6,,,90,1.6,61.2,3.2,100,1.5,84.6,6.5,84,6.5,196,48.8,,,250,51.3,119,51,32.3,1.7,182,1.9
78.1,1.6,,,77.4,1.6,68.7,2.4,60,1.5,80,6.3,76.9,6.2,60.6,49,,,66.6,52.2,190,51,38.7,1.7,166,2.5
64.5,1.6,,,61.2,1.6,68.7,2.7,103,1.5,80.7,6.3,77.7,6.2,306,48.9,,,281,52.6,75,52,53.3,1.8,162,2.4
53.1,1.6,,,93.3,1.6,76.6,3.1,83.3,1.5,80.7,6.2,76,6.2,82.3,50.2,,,97,53,50,52,48.3,1.8,193,2.2
100,1.6,,,93.7,1.6,60,2.4,73.3,1.5,73,6,84.6,6.5,41.9,50.4,,,178,53.4,263,50.4,35.4,1.8,190,2.6
60,1.6,,,50,1.6,65.6,2.6,90,1.5,68,6.2,73,6,188,50.2,,,209,54.2,270,50.6,44.8,1.8,154,2.8
83.8,1.6,,,61.2,1.6,70,3,100,1.5,84,6.2,73,6.3,293,50.7,,,90.9,54.5,293,49.8,43.3,1.8,162,3
93.7,1.6,,,83.3,1.6,96.8,2.6,103,1.5,71.4,6,69.2,6,315,51.5,,,300,55.1,68.9,50,51.7,1.7,196,2.7
56.2,1.6,,,58,1.6,100,2.9,103,1.5,81.4,6,80.7,6.5,229,51.2,,,76.4,54.4,290,50.9,40,1.8,163,3
56.6,1.6,,,83.8,1.6,54.8,2.1,100,1.5,73,6.3,73,6.4,103,51.9,,,212,52.2,96.7,50,37.5,1.8,187,2.6
67.7,1.6,,,70,1.6,43.7,2.8,70.9,1.5,76.9,6.5,76.9,6.5,212,51.7,,,103,52,223,49.5,41.9,1.8,196,3.3
78.1,1.6,,,50,3.5,63.3,2.1,66.6,2.5,80,6,76,6.7,127,50.9,,,161,52.8,170,50.1,31,1.8,168,3
70,1.6,,,73.3,3.5,74.1,3.1,68.7,3.1,80.7,6.3,80.7,6.3,129,51.2,,,100,51.3,158,50.2,55.1,1.8,154,2.9
103,1.6,,,76.6,2.8,76.6,2.4,70.9,2.4,88.4,6.5,76,6,96.9,52.3,,,96.9,50.4,250,50.7,40,1.8,190,3.1
50,1.6,,,80,2.4,76.6,3,70,3.8,80.7,6.6,80.7,6.5,100,51.3,,,96.9,51.2,263,51,46.6,1.8,182,3.3
72.7,1.6,,,90,3.4,66.6,2.7,75,2.8,80,6,57.1,6,106,52,,,222,52.3,90.3,50.2,44.8,1.8,190,3.1
76.6,1.6,,,59.3,2.6,64.5,2.2,70,3.8,80.7,6.3,88,6,216,52.6,,,315,51.8,96.7,49.1,41.3,1.8,206,3.2
73.3,1.6,,,76.6,2.3,70,2.8,67.7,3,88,6.7,84,6.4,193,52.6,,,100,52.8,78.7,49.8,34.4,1.8,173,2.6
61.2,1.6,,,70.9,3,68.7,2.5,75,2.6,84,6.8,92.3,6.7,136,53.3,,,220,52,181,50.1,44.8,1.8,162,3.6
66.6,1.6,,,70.9,2.3,76.6,2.1,61.2,2.3,80.7,6.3,80.7,6.7,193,52.7,,,309,52.7,270,49.8,29,1.9,180,4.3
80,1.6,,,81.2,3.2,100,3,103,2.9,96,6.6,80,6.2,62.5,51.4,,,252,53.2,156,48.2,30,1.9,196,4.5
80,1.6,,,51.6,2.6,58,3.2,100,2.9,78.5,6.5,80.7,6.5,203,50.5,,,48.3,52.7,125,48.9,35.4,1.9,161,4.2
71.8,1.6,,,103,2.6,83.8,3.4,96.7,2.9,70.3,6.2,76,6,293,50.3,,,230,52.3,216,47.9,41.3,1.9,175,4.5
77.4,1.6,,,100,3.2,100,3.7,56.6,3.2,80,6.3,84,6.7,212,48.4,,,203,52.8,283,47,37.5,1.9,182,4.1
