trial1,trial2,trial3
112,173,78.1
116,113,150
134,141,135
70,143,96.6
84.3,143,154
90,83.3,89.6
66.6,121,126
106,121,145
80.6,96.8,79.3
78.1,143,106
68.7,162,96.7
90.6,93.3,182
118,125,178
116,166,117
103,180,89.6
139,158,119
150,83.8,170
164,148,154
143,158,134
112,166,156
148,100,100
136,83.3,146
143,106,129
150,144,153
151,172,148
160,120,146
82.7,146,145
75.8,90,131
109,159,126
179,173,110
174,117,154
90.6,151,150
122,144,143
140,132,148
183,175,106
161,168,166
193,178,96.5
121,140,103
173,155,182
148,96.6,163
170,93.5,143
163,156,132
174,122,90
162,83.3,151
112,75,90.3
119,73.3,72.7
190,165,158
156,100,170
148,168,100
118,146,109
81.2,154,116
76.6,138,150
81.2,146,155
72.4,176,145
103,134,132
110,156,136
106,118,82.7
78.1,132,103
100,83.8,150
80.6,120,100
112,196,76.6
193,151,140
151,148,164
148,148,154
193,103,123
176,124,86.6
167,127,100
125,73.3,141
150,151,151
141,156,86.6
133,87,155
72.7,156,140
158,134,90.6
158,148,131
174,113,109
153,158,165
143,100,151
136,141,133
141,164,135
148,151,196
116,90.3,120
110,130,167
87,134,162
126,96.5,140
84.8,150,83.3
118,200,86.6
103,90.3,110
126,137,129
136,85.2,153
123,144,136
77.4,103,173
93.7,121,150
148,180,93.1
106,148,140
96.5,148,96.5
106,93.5,158
106,106,89.6
96.7,87,133
100,113,141
84.8,140,100
155,136,113
109,143,138
106,82.7,90.3
196,122,129
128,138,140
146,160,173
146,132,146
193,130,86.2
129,93.1,124
175,140,130
160,150,141
128,160,176
160,164,154
193,135,130
81.8,163,175
120,164,110
86.6,179,113
144,165,129
86.2,120,177
125,131,144
143,100,103
165,90,106
148,112,165
138,136,170
132,81.8,173
93.9,81.8,172
117,113,176
146,193,186
125,130,200
182,116,100
177,143,150
176,150,106
143,165,96.5
168,164,183
156,173,163
141,130,141
137,135,156
89.6,183,163
106,170,170
180,164,151
189,187,141
156,186,141
156,150,120
180,106,173
128,170,180
141,90.6,80
167,125,83.3
154,90,134
172,106,103
206,134,90
150,144,81.8
146,93.1,168
153,100,170
128,158,143
112,117,130
182,90.3,129
138,137,86.6
173,109,151
158,96.8,129
150,123,120
151,112,90
168,83.3,100
167,123,106
137,109,173
110,89.6,193
103,100,140
70,141,183
89.6,77.4,148
145,90.3,166
115,103,146
143,90,161
115,90,136
129,93.3,103
106,150,110
156,196,87
168,138,173
160,160,120
96.7,140,120
124,165,132
156,135,151
122,150,160
148,143,145
151,120,138
154,173,159
119,138,145
100,103,110
113,118,82.7
143,121,89.6
131,121,106
203,120,151
141,103,137
116,164,75
90,64.5,103
106,100,87
186,73.3,78.7
146,72.4,96.8
136,96.7,200
190,136,155
143,166,151
128,131,163
90.3,129,154
106,155,161
131,135,164
126,145,132
150,109,135
123,122,106
151,131,96.6
160,134,89.6
158,190,67.7
148,163,100
106,161,118
71.8,158,93.5
75.8,148,124
68.7,151,186
83.8,146,168
81.2,122,141
110,143,148
174,125,118
163,109,162
162,125,145
96.6,151,154
96.6,143,161
196,141,163
160,119,86.6
153,135,93.5
176,180,103
133,170,103
165,138,138
129,138,127
164,80,113
153,93.5,93.3
170,76.6,126
119,115,117
163,96.7,106
156,127,110
116,96.5,90
75.8,74.1,119
93.1,80.6,136
86.2,110,159
79.3,137,144
103,81.2,183
203,154,96.6
167,80,137
141,106,144
109,80,163
120,137,118
165,96.8,132
,93.7,167
,90,130
,103,76.6
,83.3,123
,93.1,109
,136,190
,90.3,135
,100,180
,113,100
,135,
,113,
,175,
,145,
,136,
